,model,topic,word,frequency
0,tfidf,1,obladi,0.0073164226
1,tfidf,1,ideal,0.0073149335
2,tfidf,1,kuyabanda,0.006637374
3,tfidf,1,meeeeeeeeeeeeeeattah,0.006445177
4,tfidf,1,lelet,0.006287089
5,tfidf,1,marylate,0.006118046
6,tfidf,1,mizeel,0.006089806
7,tfidf,1,insania,0.006028409
8,tfidf,1,inquires,0.005815741
9,tfidf,1,misanthropy,0.005774361
10,tfidf,1,investigatin,0.0057336073
11,tfidf,1,ithustle,0.0056925546
12,tfidf,1,fododo,0.005506467
13,tfidf,1,kroe,0.0054665403
14,tfidf,1,klingons,0.0054532187
15,tfidf,1,jizz,0.0051347343
16,tfidf,1,gasoline,0.005084131
17,tfidf,1,killsuh,0.0050513726
18,tfidf,1,heywood,0.0050290786
19,tfidf,1,doovers,0.0050141234
20,tfidf,1,maurys,0.0048992475
21,tfidf,1,líbrase,0.0048639826
22,tfidf,1,kayo,0.004862823
23,tfidf,1,jetson,0.00485226
24,tfidf,1,mine,0.0048317937
25,tfidf,1,iowa,0.004761397
26,tfidf,1,pinebox,0.004733841
27,tfidf,1,letcha,0.004664902
28,tfidf,1,lobotomy,0.0046439017
29,tfidf,1,killem,0.0046224985
30,tfidf,1,prophetess,0.004537504
31,tfidf,1,insamusicprobe,0.0045223017
32,tfidf,1,mildy,0.0045112506
33,tfidf,1,halleluhalleluhallelujah,0.004506282
34,tfidf,1,racksonracksonracks,0.004391895
35,tfidf,1,jm,0.004375152
36,tfidf,1,friendsthe,0.0043399837
37,tfidf,1,mascara,0.004294856
38,tfidf,1,gringas,0.004272446
39,tfidf,1,perion,0.0042562955
40,tfidf,1,manifestation,0.0042454936
41,tfidf,1,innercity,0.0042376425
42,tfidf,1,meman,0.0041879737
43,tfidf,1,jaanum,0.0041608927
44,tfidf,1,longboat,0.0041447184
45,tfidf,1,infantry,0.0041355393
46,tfidf,1,mayn,0.0041148704
47,tfidf,1,louii,0.004109028
48,tfidf,1,mirame,0.0040779086
49,tfidf,1,crady,0.0040757074
50,tfidf,2,ffella,0.004892899
51,tfidf,2,jesis,0.0043460303
52,tfidf,2,mech,0.0042052697
53,tfidf,2,justification,0.0038792642
54,tfidf,2,mcclane,0.0038481862
55,tfidf,2,korrekt,0.0037477908
56,tfidf,2,legalize,0.0037416876
57,tfidf,2,leitrim,0.0036591631
58,tfidf,2,monogamy,0.003600236
59,tfidf,2,maltomeal,0.0035741518
60,tfidf,2,macarrena,0.003515775
61,tfidf,2,maquarts,0.0035009081
62,tfidf,2,minage,0.0034762863
63,tfidf,2,cosmics,0.003448207
64,tfidf,2,instrumentals,0.0034269637
65,tfidf,2,hootie,0.003414542
66,tfidf,2,fivefigure,0.0034112209
67,tfidf,2,inmost,0.003403366
68,tfidf,2,kita,0.0033997772
69,tfidf,2,jai,0.0033966464
70,tfidf,2,compose,0.00336311
71,tfidf,2,levin,0.0033526504
72,tfidf,2,kunis,0.0033318934
73,tfidf,2,funmy,0.0033315816
74,tfidf,2,inspite,0.003312344
75,tfidf,2,diamel,0.003271542
76,tfidf,2,land,0.0032477034
77,tfidf,2,jaybras,0.0032092496
78,tfidf,2,livins,0.0032029988
79,tfidf,2,jujuandju,0.0031961927
80,tfidf,2,loulou,0.0031785679
81,tfidf,2,imbrium,0.0031600986
82,tfidf,2,latino,0.0031265323
83,tfidf,2,limbthen,0.003122809
84,tfidf,2,kalel,0.0031128915
85,tfidf,2,maan,0.003111165
86,tfidf,2,mmhmmm,0.003091738
87,tfidf,2,meezy,0.0030761664
88,tfidf,2,kphela,0.0030725594
89,tfidf,2,kwagga,0.0030540572
90,tfidf,2,lata,0.003043256
91,tfidf,2,inadeladah,0.0030421282
92,tfidf,2,mifflins,0.0030415405
93,tfidf,2,imim,0.0030275919
94,tfidf,2,hoodhoppers,0.00301444
95,tfidf,2,karmaloop,0.0030063037
96,tfidf,2,meach,0.0030060082
